station_std_id,1_code,2_code,3_code,4_code,5_code,1_ratio,2_ratio,3_ratio,4_ratio,5_ratio,building_cnt,area
100000001,3,2,5,4,12,0.63893,0.21074,0.11784,0.01698,0.01551,52,154470.1
100000002,65,4,1,3,2,0.86162,0.05044,0.0336,0.03288,0.01731,329,1545674.6
100000003,2,1,3,12,6,0.43616,0.30021,0.08963,0.05146,0.05041,304,99662.0
100000004,2,3,5,8,10,0.42283,0.4134,0.07557,0.04062,0.02804,154,226356.2
100000005,4,1,2,6,11,0.733,0.12895,0.0606,0.02334,0.02105,455,937312.6
100000006,1,4,2,6,3,0.57724,0.3329,0.03625,0.02516,0.02082,287,261289.0
100000007,1,2,4,3,5,0.75305,0.10632,0.06556,0.04487,0.02748,110,42420.4
100000008,1,4,2,6,3,0.57724,0.3329,0.03625,0.02516,0.02082,287,261289.0
100000009,1,4,2,6,3,0.57724,0.3329,0.03625,0.02516,0.02082,287,261289.0
100000010,1,4,2,6,3,0.57724,0.3329,0.03625,0.02516,0.02082,287,261289.0
100000011,1,4,2,6,3,0.57724,0.3329,0.03625,0.02516,0.02082,287,261289.0
100000012,1,4,2,6,3,0.57724,0.3329,0.03625,0.02516,0.02082,287,261289.0
100000013,1,4,2,6,3,0.57724,0.3329,0.03625,0.02516,0.02082,287,261289.0
100000014,1,3,2,5,\N,0.44794,0.29284,0.25847,0.00075,\N,17,13220.5
100000015,1,3,2,4,5,0.53612,0.22154,0.16015,0.03757,0.02352,205,53216.1
100000016,1,3,15,2,33,0.37378,0.3368,0.2009,0.05125,0.0179,105,59439.1
100000017,1,2,4,3,5,0.75305,0.10632,0.06556,0.04487,0.02748,110,42420.4
100000018,1,4,30,2,12,0.53188,0.1748,0.14962,0.0426,0.03389,287,289933.8
100000019,3,2,1,5,9,0.91967,0.04764,0.02266,0.00545,0.00457,117,143763.1
100000020,1,2,11,5,8,0.58501,0.30758,0.03002,0.02912,0.01767,255,48770.1
100000021,2,3,1,12,6,0.34159,0.30375,0.26723,0.02996,0.02705,156,68369.0
100000022,3,2,11,1,\N,0.99167,0.00463,0.00305,0.00066,\N,13,120154.9
100000023,3,12,2,5,34,0.64347,0.3262,0.01686,0.00986,0.00361,35,399377.8
100000025,3,12,2,5,34,0.64347,0.3262,0.01686,0.00986,0.00361,35,399377.8
100000028,34,3,1,4,2,0.38381,0.20511,0.11117,0.09354,0.08825,218,314484.0
100000029,3,12,2,22,1,0.96897,0.01692,0.01152,0.00201,0.00034,26,302190.9
100000030,3,12,2,22,1,0.96897,0.01692,0.01152,0.00201,0.00034,26,302190.9
100000031,3,12,2,5,34,0.64347,0.3262,0.01686,0.00986,0.00361,35,399377.8
100000032,3,2,1,5,9,0.91967,0.04764,0.02266,0.00545,0.00457,117,143763.1
100000033,1,4,30,2,12,0.53458,0.17063,0.15042,0.04271,0.03407,283,288379.0
100000034,3,12,2,5,34,0.64347,0.3262,0.01686,0.00986,0.00361,35,399377.8
100000035,4,1,2,\N,\N,0.86308,0.07114,0.06579,\N,\N,4,12540.7
100000036,4,3,1,2,6,0.56659,0.20018,0.11214,0.08967,0.02753,149,114222.7
100000037,1,2,11,6,4,0.71139,0.10826,0.0558,0.04568,0.04054,401,214490.4
100000038,1,2,11,6,4,0.71221,0.10795,0.05565,0.04555,0.04042,409,215100.2
100000039,4,1,2,38,6,0.87531,0.09026,0.02239,0.00346,0.00307,315,938077.2
100000040,4,1,2,38,6,0.87508,0.0905,0.02239,0.00346,0.00307,315,938322.0
